LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index,
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,,nm^2
ID4782,4782,12,1141,692.6737929,180.8475858,0,3,3,19.09929657,1,,253.6649215,255,0,255,290700,18.410822,0.997663551,13.7619188,0.360531211,0.760892356,22.08104672,18.42181299,1.095788126,1.198635918,1146,142.8210025,0.706009146,0.876817138,4.218905215,12.69806094
ID4783,4783,6,1038,1043.331967,230.4290883,0,3,3,18.16392571,1,,254.261583,255,0,255,263415,13.70884657,0.995494764,18.50538879,-0.235948387,0.212635697,22.86582798,15.08639107,1.839751371,1.515659237,1036.5,129.614363,0.775305582,0.943130118,4.025950924,11.48476454
ID4785,4785,7,4120,1215.335943,265.5981915,0,3,3,36.21156688,1,,254.1343356,255,0,255,1048050,14.83402865,0.998701778,17.12072108,-0.280461207,-0.608760932,39.05029521,34.97500341,-0.731711733,1.116520126,4119.5,249.2051301,0.833566811,0.943216943,3.882707948,45.64542936
ID4787,4787,8,1875,949.0690711,502.8519652,0,3,3,24.45291641,1,,254.3218085,255,0,255,478125,13.13661596,0.99786724,19.3390989,-0.148359307,0.63556833,35.3582244,18.36248933,1.721079067,1.925568138,1878.5,178.2678621,0.742805227,0.967301751,4.11308284,20.81440443
ID4789,4789,9,2438,563.3211848,694.8723041,0,3,3,27.88032894,1,,254.3726937,255,0,255,620415,12.63467599,0.997539968,20.10810772,-0.777827795,-0.004676295,32.19237645,27.04379861,0.188545996,1.190379241,2442,215.0455769,0.663581844,0.856391373,4.351687339,27.05817175
ID4792,4792,0,5305,910.2107654,767.2862958,0,3,3,41.0833077,1,,254.3271768,255,0,255,1349460,13.08241131,0.99735625,19.41465814,-0.666232817,0.493165224,49.70425001,35.7014451,3.06567043,1.392219555,5302.5,317.9546091,0.659113628,0.865643621,4.366412748,58.7534626
ID4794,4794,1,3715,687.9087195,968.9617008,0,3,3,34.37391886,1,,254.2451561,255,0,255,944775,13.85521813,0.99855999,18.33691567,1.248143889,-1.268215342,49.81554043,28.56334223,-0.937915247,1.744037516,3712,303.5266209,0.506319038,0.795201371,4.981874733,41.13019391
ID4795,4795,10,3768,1152.261229,1002.742927,0,3,3,34.6414242,1,,254.3906001,255,0,255,958035,12.45258126,0.996637755,20.39434337,0.025750343,0.109805892,41.26750927,32.31915503,-0.978732651,1.276874635,3770,264.5849708,0.67673848,0.870971468,4.309178619,41.77285319
ID4798,4798,2,4752,403.2838018,1021.553374,0,3,3,38.88203704,1,,254.4640605,255,0,255,1210740,11.67929804,0.998875343,21.77535729,-0.367634123,0.464051679,43.64644914,37.12012265,1.372425523,1.175816404,4749.5,284.0559423,0.739690427,0.898845572,4.121733736,52.62603878
ID4801,4801,5,1670,892.9123989,1259.928871,0,4,4,23.05251299,1,,254.8473054,255,0,255,425595,6.239961999,0.70472546,33.76708813,0.557603023,1.863197898,27.22471808,24.22895115,1.669314583,1.123644103,1669.5,162.4822991,0.794665166,0.958656331,3.976608568,18.49861496
